FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,team
38.0,68.0,10.0,23.0,14.0,18.0,100.0,16.0,32.0,48.0,22.0,16.0,12.0,3.0,18.0,0.0,0
37.0,77.0,10.0,25.0,11.0,16.0,95.0,17.0,29.0,46.0,21.0,10.0,20.0,4.0,14.0,0.0,0
30.0,61.0,5.0,14.0,18.0,22.0,83.0,9.0,27.0,36.0,16.0,14.0,13.0,14.0,12.0,0.0,0
39.0,76.0,9.0,24.0,14.0,16.0,101.0,19.0,20.0,39.0,24.0,19.0,18.0,7.0,15.0,0.0,0
38.0,65.0,12.0,25.0,3.0,6.0,91.0,11.0,22.0,33.0,21.0,10.0,10.0,2.0,15.0,0.0,0
39.0,69.0,9.0,23.0,20.0,24.0,107.0,11.0,35.0,46.0,19.0,13.0,20.0,7.0,12.0,0.0,0
30.0,54.0,7.0,19.0,9.0,12.0,76.0,6.0,30.0,36.0,12.0,15.0,7.0,4.0,15.0,0.0,0
29.0,61.0,9.0,22.0,13.0,15.0,80.0,9.0,33.0,42.0,8.0,9.0,4.0,5.0,10.0,0.0,0
32.0,64.0,8.0,21.0,8.0,11.0,80.0,10.0,15.0,25.0,21.0,12.0,15.0,4.0,16.0,0.0,0
29.0,59.0,7.0,17.0,12.0,16.0,77.0,4.0,23.0,27.0,19.0,11.0,7.0,6.0,11.0,0.0,0
24.0,54.0,6.0,20.0,13.0,18.0,67.0,10.0,23.0,33.0,12.0,14.0,9.0,2.0,13.0,0.0,0
35.0,74.0,10.0,24.0,7.0,9.0,87.0,16.0,31.0,47.0,24.0,8.0,7.0,6.0,9.0,0.0,0
33.0,71.0,12.0,34.0,5.0,9.0,83.0,17.0,17.0,34.0,27.0,9.0,14.0,4.0,14.0,0.0,0
32.0,70.0,7.0,21.0,15.0,17.0,86.0,13.0,27.0,40.0,22.0,10.0,6.0,6.0,16.0,0.0,0
36.0,67.0,15.0,33.0,2.0,3.0,89.0,5.0,27.0,32.0,22.0,10.0,8.0,2.0,12.0,0.0,0
